,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Cluster 14,Louvain,
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,0,0,0,0,0,6,7,7,7,6,7,13,13,0,
2,2,2,4,5,5,5,5,5,5,7,10,7,7,0,
3,2,2,4,2,2,2,2,2,2,2,2,2,14,0,
4,0,0,0,0,0,7,7,7,10,0,0,0,14,0,
5,2,2,4,2,6,7,7,7,10,7,10,7,7,0,
6,0,0,0,5,4,6,7,7,7,10,7,13,2,0,
7,0,2,4,2,2,4,4,4,4,4,4,4,4,3,
8,2,2,4,2,2,4,4,4,4,4,4,4,14,3,
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
10,2,0,0,0,6,7,7,7,7,11,11,11,11,0,
11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
12,0,0,0,0,6,7,7,7,7,11,11,11,11,0,
13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
14,0,2,0,0,6,7,6,6,6,6,12,12,12,2,
15,2,2,2,4,6,6,6,6,6,6,6,6,6,2,
16,2,2,2,4,4,6,8,8,8,8,8,8,8,2,
17,2,2,2,4,6,6,8,6,8,8,12,12,12,2,
18,2,2,2,4,4,6,8,8,8,8,8,8,8,2,
19,0,0,0,5,2,2,2,2,2,2,2,2,2,0,
20,0,3,3,5,5,5,5,5,5,5,5,5,5,0,
21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
22,0,3,3,5,5,5,5,5,5,5,5,5,5,0,
23,0,0,4,3,4,4,4,4,4,4,4,4,4,3,
24,2,2,2,4,4,6,8,8,8,8,8,8,8,2,
25,2,2,4,2,2,2,2,2,2,7,10,7,14,0,
26,2,2,2,4,6,7,6,6,6,6,6,6,6,2,
27,2,2,4,2,2,2,2,2,2,2,2,2,2,0,
28,2,2,4,1,1,2,1,2,2,7,10,7,7,0,
29,0,3,3,3,3,3,3,9,9,9,9,13,13,3,
30,2,2,4,2,2,2,2,2,2,2,2,2,14,0,
31,2,3,3,5,5,5,5,5,5,5,5,5,5,0,
32,2,2,3,5,5,5,5,5,5,5,5,5,5,0,
33,2,2,4,2,2,4,4,4,4,4,4,4,14,3,
34,0,3,3,3,3,3,3,3,3,3,3,3,3,3,
35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
36,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
37,0,0,0,0,0,0,0,0,10,10,7,10,10,1,
38,0,0,0,0,0,0,0,0,10,10,7,10,10,3,
39,2,2,2,4,4,6,8,8,8,8,8,8,8,2,
40,0,3,3,3,3,3,3,3,3,3,3,3,3,3,
41,0,0,0,0,0,3,3,3,3,3,3,3,3,3,
42,0,3,3,3,3,3,3,3,3,3,3,3,3,3,
43,0,0,0,0,6,7,7,7,7,10,12,13,13,3,
44,0,3,3,3,3,3,3,3,3,3,3,3,3,3,
45,2,2,2,0,6,7,6,6,6,6,6,6,6,2,
46,2,2,2,4,6,6,8,8,8,8,8,8,8,2,
47,0,0,0,0,0,3,3,9,9,9,9,13,13,3,
48,0,0,0,0,0,4,4,4,4,10,9,9,9,3,
49,0,3,3,3,3,4,4,4,4,4,4,4,4,3,
50,0,3,3,3,3,4,4,4,4,4,4,4,4,3,
51,0,0,0,0,0,0,0,0,0,0,12,12,12,2,
52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
53,0,3,3,3,3,7,4,9,9,9,9,9,4,3,
54,99,99,99,99,99,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,99,99,99,99,99,
Modularity,0.14791724772778084,0.15596038808433083,0.20469037692887773,0.20317097203287787,0.19846952473176194,0.20257702566363064,0.2119050231859928,0.20224970133277304,0.20101120730247812,0.18905039680717248,0.18721229085548496,0.1826058934260922,0.17602336259213883,0.25914020849464237,
NMI,0.44998965087191733,0.41619462273595692,0.52212420905861101,0.57525438741691415,0.46646229608189421,0.61791262412282499,0.69149901744871445,0.70776864947665385,0.69370422064553194,0.65916323529842114,0.6729507944950559,0.68331718026504862,0.65540511987593297,1.0,
Silhoutte,0.02560935,0.04836377,0.11747331,0.15394876,0.16437435,0.16461822,0.19869107,0.20694401,0.2019513,0.22933433,0.24854066,0.24359344,0.25429666,0.1023973,
